stop_id,stop_name,stop_lat,stop_lon
jintai_lu,jintai_lu,-1652.3522180641273,2709.8226464354484
shilipu,shilipu,-1652.3522180641273,2839.985355308419
qingnian_lu,qingnian_lu,-1651.6524185540575,2917.6631009261596
dalianpo,dalianpo,-1651.531165771891,3092.884571594208
huangqu,huangqu,-1652.4835777049896,3151.9341114463186
changying,changying,-1652.4835777049896,3212.8884751646265
caofang,caofang,-1651.531165771891,3289.081429812511
wuzi_xueyuan_lu,wuzi_xueyuan_lu,-1651.531165771891,3354.7978531963117
tongzhou_beiguan,tongzhou_beiguan,-1667.495632807545,3438.7077782465067
beiyunhexi,beiyunhexi,-1789.3695507909883,3568.573428556733
beiyunhedong,beiyunhedong,-1790.3685173318363,3628.5114210076063
haojiafu,haojiafu,-1789.3695507909883,3688.44941345848
dongxiayuan,dongxiayuan,-1790.3685173318363,3749.3863724502016
lucheng,lucheng,-1789.3695507909883,3809.3243649010756
